"dttma","po01","po02","po03","si01","si02","si03","it01","it02","it03","ie01","ac01","ac02","ac03","ac04","ai01","ai02","ai03","ai04","iv01","iv02","iv03","bd01","bd02","bd03","bd04","de01","de02"
2025-05-06 08:15:38,"6","5","5","5","5","5","2","3","6","6","7","2","5","4","4","6","2","4","4","1","6","yes",17,5,374,"women",31
2025-05-13 11:14:40,"5","4","4","5","5","6","6","5","5","6","3","7","3","5","3","5","4","1","5","6","4","yes",14,1,38,"women",37
2025-05-18 12:09:05,NA,"4","5","5","7","4",NA,"6","6","6","6","5","6","6","5","3","2","4","5","4","6","yes",6,3,136,"man",33
2025-05-17 13:14:08,"3","4","5","2","6","4","5","5","4","4","7","6","7","7","6","5","5","6","6","4","6","yes",11,4,642,"man",52
2025-05-08 12:21:28,"7","7","5","5","6","5","3","3","4","2","5","2","3","1","5","3","6","4","6","4","7","no",18,3,28,"women",54
2025-05-05 09:25:35,"6","5","5","6","7","5","6","7","6","5","6","4","4","6","6","7","4","5","3","3","4","yes",26,6,251,"man",45
2025-05-08 14:00:24,"5","5","6","6","6","5","7","7","7","6","7","6","7","6","7","7",NA,"6","6","6","7","yes",14,3,663,"women",35
2025-05-07 13:43:15,"6","6","3","3","4","4","6","2","4","5","7","4","6",NA,"5","3","6","7","5","5","6","yes",18,2,18,"man",18
2025-05-10 15:25:03,"6","6","7","4","6","3","6","4","3","3","5","6","4","7","6","5","3","2","5","5","3","no",12,3,417,"women",22
2025-05-10 11:38:08,"4","4","3","2","3","4","3","3","3","7","3","4","5","4","2","2","3","3","6","5","4","no",18,3,520,"man",37
2025-05-11 12:22:20,"6","6","5","6","6","3","4","4","6","3","6","6","5","7","5","5","3","6","4","4","5","no",17,4,138,"women",44
2025-05-16 12:13:04,"5","7","7","5","6","6","5","6","5","4","7","5","7","5","6","7","6","6","7","7","7","no",26,6,429,"women",46
2025-05-14 08:13:47,"6","6","7","6","6","6","3",NA,"5","6","6","6","5","5","2","2","4","4","5","5","4","no",26,5,323,"women",36
2025-05-05 13:03:42,"6","7","5","5","3","4","6","5","5","5","6","2","5","3","4","4","5",NA,"5","4","5","no",18,7,277,"man",50
2025-05-05 14:55:01,"3","3","3","6","7","5","6","6","6","6","6","6","5",NA,"5","3","4","4","6","6","6","yes",4,1,523,"women",39
2025-05-06 15:15:29,"1","3","4","3","4","4","7","7","7","7","3","1","3","4","6","4","6","5","5","7","4","yes",8,1,643,"man",30
2025-05-13 09:13:44,"5","5","3","6","6","4","7","7","7","7","6","6","6","6","5","6","5","4","6","7","7","yes",10,3,693,"women",35
2025-05-10 08:56:25,"7","7","7","5","6","6","4","7","6","6","5","5","4","7","6","5","5","4","7","5","6","no",15,3,603,"women",41
2025-05-14 08:39:22,"6","5","6","6","6","5","4","4","6","5","2","5","5","3","5","4","4","6","3","6","4","no",19,6,70,"man",31
2025-05-18 15:14:33,"7","7","7","6","4","4","4","6","4","5","6","3","6","6","5","6","6","3","5","6","5","yes",10,2,59,"women",27
2025-05-14 14:22:27,"5","4","6","5","5","5","2","2","1","4","5","6","6","3","5","3","3","3","5","4","4","yes",22,6,188,"women",38
2025-05-13 09:57:43,"4","6","5","5","4","5","5","4","6","5","2","4","2","3","6","5","3","5","6","6","4","yes",16,5,261,"women",49
2025-05-11 10:29:55,"6","7","7","7","6","7","4","5","6","7","6","7","6","7","7","6","6","7","7","7","7","yes",13,4,462,"man",42
2025-05-14 13:08:49,"2","5","5","6","5","6","6","7","5","3","4","5","4","5","7","6","6","6","5","6","6","yes",12,3,208,"women",37
2025-05-07 09:07:37,"5","4","4","2","5","4","2","6","3","6","6","6","7","7","5","5","6","5","7","5","4","yes",12,3,94,"women",59
2025-05-06 15:28:59,"7","7","7","6","7","7","6","7","7","7","6","6","7","6","6","7","7","6","6","7","5","yes",23,7,116,"man",53
2025-05-06 10:53:58,"7","6","4",NA,"2","3","4","3","3","6","5","3","2","3","3","2","1","3","7","7","6","yes",20,4,186,"women",40
2025-05-08 15:22:21,"3","5","6","7","2","3","4","7","5","4","7","3","3","4","6","6","7","4","4","4","5","no",12,3,672,"man",54
2025-05-08 17:43:33,"6","5","5","5","7","7","6","5","6","5","6","6","5","6","4","3","2","5","7","6","6","yes",16,4,467,"women",24
2025-05-09 13:43:27,"4","4","5","6","4","5","5","6","7","6","4","4","5","5",NA,"6","6","5","4","5","3","yes",19,4,496,"women",35
2025-05-17 14:02:12,"5","6","5",NA,"5","3","2","4","6","4","2","4","3","6","4","4","7","5","3","3","3","yes",13,2,94,"women",57
2025-05-15 16:38:59,"6","6","4","6","7","5","5","4","3","3","7","6","5","2","6","4","7","6","5","3","4","yes",18,3,135,"women",46
2025-05-09 08:54:39,"6","5","5","5","3","4","6","6","6","5","4","5","3","5","4","4","5","4","5","4","4","yes",16,2,379,"man",53
2025-05-10 08:35:09,"5","6","7","5","5","4","6","6","7","6","7","7","7","7","7","7","7","7","6","7","6","yes",18,5,705,"man",28
2025-05-05 16:30:20,"7","5","7","4",NA,"6","6","7","4","4","4","6","5","3","5","7","4","5","5","4","6","no",16,6,651,"women",39
2025-05-15 13:45:19,"7","7","4","7",NA,"7","5","7","7",NA,"5","4","6","5","4","3","6","5","6","7","6","yes",12,2,340,"women",27
2025-05-16 08:55:01,"6","7","6","5","6","6","7","6","7","4","6","6","4","6","7","6","6","6","7","5","4","no",16,6,344,"man",41
2025-05-10 17:46:52,"4","5","5","7","6","6","6","6","7","5","5","7","6","5","4","7","6","7","7","5","3","yes",14,3,96,"man",26
2025-05-12 10:59:35,"7","5","5","5","5","5","7","5","6","3","6","4","4","1","4","5","5","6","7","7","7","yes",20,2,386,"man",37
2025-05-13 15:34:59,"5","5","5",NA,"6","6","4","7","5","3","6","6","7","7","5","4","6","6","6","6","6","no",14,2,168,"women",44
2025-05-14 17:53:47,"3","6","6","6","7",NA,"5","5","4","6","5","4","5","4","3","2","3","4","1","4","4","yes",13,4,581,"man",43
2025-05-17 12:36:04,"6","7","6","7","7","7","6","6","7","5","5","6","5",NA,"6","6","7","7","6","4","6","yes",22,6,729,"man",40
2025-05-11 16:23:49,"6","5","4","7","4","6","4","6","5","6","7","3","3","3",NA,"2","4","3","6","4","3","yes",17,4,617,"man",33
2025-05-13 09:20:35,"7","7","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","7","yes",14,3,282,"women",41
2025-05-16 10:26:01,"6","4","6","6","7","5","7","4","3","6","6","6","6","7","6","5","5","4","7","7","6","yes",12,4,186,"man",43
2025-05-10 16:53:56,"5","4","6","7","6","6","3","6","3","7","6","6","7","5","5","6","6","7","7","7","7","no",14,4,270,"women",44
2025-05-10 10:35:45,"7","7","7","7","4","5","7","4","6","7","6","6","5","3","6","4","6","6","7","7","7","yes",27,6,460,"women",46
2025-05-14 09:36:41,"5","5","6","6","6","5","5","3","2","2","7","7","7","7","7","6",NA,"7","6","7","7","no",16,3,697,"women",35
2025-05-15 09:26:34,"5","7","7","6","7","7","4","7","3","5","6","6","7","7","7","7","6","6","7","5","7","unsure",16,4,334,"women",31
2025-05-07 08:47:36,"6","5","7","6","7","7","5","7","6","7","4","5","6","7","6","7","6","5","6","6","6","yes",17,5,240,"women",47
2025-05-11 11:00:08,"4","4","4","3","5","6","4","5","4","6","6","5","6","7","5","6","6","4","4","7","4","yes",12,2,419,NA,44
2025-05-05 14:04:42,"7","7","5","5","6","6","7","6","7","5","7","7","6","6","7","6","7","7","7","7","7",NA,16,3,355,"women",29
2025-05-07 17:20:29,"7","7","7","4","7","7","5","6","5","5","6","5","5","5","6","6","6","6","6","5","3","yes",26,8,685,"man",43
2025-05-07 15:24:18,"6","5","4","6","7","6","6","6","6","3","7","6","6","7","5","5","6","5","5","5","5","no",14,3,242,"women",28
2025-05-18 16:47:46,"2","5","7","4","5","6","3","7","4","4","3","4","5","6","7","7","7","6","4","4","7","yes",16,5,582,"man",47
2025-05-11 12:24:58,"7","6","7","6","6","7","6","7","7","7",NA,"7","7","7","6","6","7","6","7","7","7","no",11,3,228,"women",60
2025-05-10 16:10:08,"6","6","6","7","5","6","7","6","7","2","6","7","5","6","6","7","6","7","7","7","6","yes",19,5,708,"women",30
2025-05-06 14:57:28,"5","6","6","3","3","5","4","5","4","5","6","4","4","3","4","6","6","7","2","6","3","no",16,4,695,"women",32
2025-05-13 16:55:56,"7","4","5","4","4","6","7","6","5","6","7","5","7","6","5","6","3","6","2","6","5","yes",12,4,476,"man",56
2025-05-17 17:36:06,"7","7","7","7","7","6","7","6","7","6","7","7","6","7","6","6","6","6","7","7","7","yes",19,6,381,"women",52
2025-05-14 08:02:43,"5","5","5","4","3","7","4","5","5","6","6","6","4","6","3","4","6","6","6","5","4","yes",15,5,154,"man",40
2025-05-07 12:11:21,"5","6","3","5","5","6","5","5","5","7","6","4","5","5","5","4","5","4","5","5","5",NA,21,5,591,"man",35
2025-05-06 12:23:27,"4","4","2","2","5","3","5","7","7","5","6","7","4","6","4","4","5","6","5","6","6","yes",10,2,388,"women",35
2025-05-17 14:56:23,"7","7","7","6","6","7","7","7","3","6","5","6","7","4","7","7","7","7","7","7","6","yes",21,4,622,"women",35
2025-05-07 11:32:33,"6","7","4","6","6","6","4","3","4","5","5","7","7","5","6","3","3","3","2","1","3","yes",26,8,325,"women",51
2025-05-16 09:57:32,"6","5","5","6","3","6","2","3","4","5","5","7","6","6","6","2","5","4","4","3","5","yes",20,4,167,"women",37
2025-05-14 17:23:42,"4","5","5","4","6","5","5","6","4","5","6","5","6","5","6","7","7","6","7","7","5","yes",11,3,95,"man",33
2025-05-08 16:45:20,"5","3","5","7","6","7","3","6","4","5","6","5","5","7","4","7","6","7","6","7","6","yes",10,2,502,"man",30
2025-05-15 11:10:13,"3","3","5","3","4","2","5","4","4","5","4","6","7","6","7","6","6","6","5","5",NA,"yes",13,2,46,"women",22
2025-05-14 16:39:51,"4","4","5","7","6","6","6","4","4","6","5","5","6","5","5","4","6","6","2","2","2","yes",10,1,671,"man",49
2025-05-07 16:50:16,"7","7","6",NA,"7","5","7","4","5","5","7","6","7","6","6","5","6","2","7","5","6","yes",22,5,392,"man",35
2025-05-11 11:43:23,"7","5","6","7","6","7","5","4","5","5","7","7","7","6","5","4","4","5","3","2","4","yes",26,4,700,"man",37
2025-05-17 09:55:27,"6","5","7","5","7","6","7","7","6","6","4","6","6","5","6","5","6","6","7","6","6","yes",19,5,199,"man",32
2025-05-06 09:02:09,"5","2","4","6","7","5","3","5","7","5","6","7","7","7","7","7","7","4","2","4","4","yes",12,2,220,"women",28
2025-05-18 15:30:25,"5","4","7","3","3","6","5","3","7","5","4","4","4","4","6","6","6","7","6","5","5","yes",24,3,127,"man",49
2025-05-11 17:33:05,"5","4","4","7","7","7","6","6","7","6","7","6","6","7","5","6","7","5","6","7","7","no",20,5,533,"women",28
2025-05-13 12:52:51,"4","6","3","5","5","6","3","4","6","5","2","5","6","4","6","6","7","6","6","4","5","yes",15,4,185,"man",47
2025-05-06 16:10:34,"5","6","6","6","7","6","4","5","4","6","4","5","5","4","6","4","6","6","6","6","6","yes",24,6,601,"man",32
2025-05-08 08:13:39,"6","5","4","4","6","5","5","1","4","7","4","4","6","5","5","6","5","5","3","6","3","yes",10,1,214,"women",38
2025-05-16 12:03:07,"5","5","4","5","7","6","2","5","6","6","3","2","4","3","4","5","3","5","7","3","5","yes",17,5,414,"women",47
2025-05-17 09:55:42,NA,"6","4","4","1","6","6","5","7","6","5","1","4","5","7","6","6","5","6","6","6","yes",19,4,366,"man",42
2025-05-12 17:14:58,"5","4","5","6","5","4","6","3","6","2","4","6","6","6","7","7","6","6","5","5","3","no",11,4,294,"man",41
2025-05-09 16:50:09,"5","5","3","7","6","7","6","5","5","7","5","5","5","6","7","6","7","7","4","6","4","yes",13,2,148,"women",29
2025-05-15 08:13:27,"6","7","7","5","7","7","7","7","7","6","7","5","2","7","7","7","7","7","7","6","6","yes",21,5,713,"women",29
2025-05-10 11:43:34,"7","6","7","6","4","7","4","4","4","7",NA,"7","7","7","3","6","5","4","4","7","5","yes",29,7,578,"women",18
2025-05-06 13:51:33,"3","2","4","5","5","6","4","3","5","4","4","6","4","3","4","5","6","7","1","5","3","yes",11,5,421,"women",34
2025-05-17 09:36:54,"7","5","6","5","6","4","7","6","7","5","6","7","6","7","6","5","7","2","7","5","4","no",16,4,402,"women",37
2025-05-11 08:18:21,"5","5","7","7","7","7","5","7","7","2","5","6","7","7","6","5","6","7","6","6","7","no",16,3,523,"women",53
2025-05-16 14:00:09,"7","6","7","7","7","7","7","6","7","5","6","7","6","7","6","6","5","6","7","7","6","yes",16,2,78,"women",37
2025-05-13 11:14:47,"7","6","7","7","7","7","7","5","6","4","7","7","5","5","7","7","6","7","5","6","5","yes",20,5,719,"man",41
2025-05-12 10:36:31,"7","6","6","7","7","6","6","7","4","4","7","7","7","7","6","4","6","7","3","3","5","yes",19,3,684,"man",33
2025-05-12 13:23:54,"7","5","7","7","7","7","7","7","7","7","7","7","7","7","6","7","7","6","7","7","7","yes",14,4,576,"women",44
2025-05-13 16:43:50,"7","6","6","6","6","6","7","5","6","6","3","4","5","7","3","6","4","4","2","5","5","yes",20,4,594,"man",20
2025-05-11 15:01:21,"5","5","6","4","6","6","4","3","4","6","5","6","4","4","7","7","6","5","4","6","6","yes",19,5,671,"man",34
2025-05-07 08:08:58,"6","3","4","5","6","5","5","4","4","6","5","6","7","6","5","5","2","5","6","4","6","no",15,3,273,"women",40
2025-05-15 10:38:51,"7","6","5","4","5","4","5","7","3","2","5","5","5","3","5","6","3","4","6","5","5","no",14,3,696,"women",49
2025-05-09 09:34:49,"7","6","5","6","6","5","7",NA,"5","5","7","7","5","7","7","7","7","6","6","7","7","yes",25,6,213,"women",40
2025-05-12 15:39:30,"6","7","7","5","5","6","4","6","6","7","4","4","6","4","5","5","4","3","6","4","3","no",20,3,468,"man",25
2025-05-16 15:16:08,"6","6","5","5","5","7","6","6","6","6","6","6","5","6","7","7","7","7","6","5",NA,"no",13,4,151,"women",44
2025-05-12 08:29:53,"6","6","6","4","6","6","7","6","6","4","6",NA,"5","6","6","6","6","6","7","5",NA,"no",16,5,414,NA,52
2025-05-13 10:12:35,"4","6","6","4","7","6","6","4","5","4","6","7","5","6","4","3","6","5","4","3","3","yes",19,4,672,"man",50
2025-05-10 10:26:54,"5","6","6","7","6","6","7","6","6","4","5","6","5","5","6","4","4","6","6","4","4","yes",18,4,366,"man",47
2025-05-18 14:29:16,"6","5","6","6","4","4","5","6","4","7","6","5","5","4","6","6","7","5","6","5","5","yes",14,3,743,"man",37
2025-05-07 08:34:46,"6","6","6","6","7","7","6","7","7","7","7","5","7","6","5","7","6","7","7","7","7","yes",25,7,511,"man",64
2025-05-09 11:00:57,"6","7","7","3","2","5","7","6","4","6","6","6","7","7","4","4","4","6","4","5","3","yes",20,5,490,"women",48
2025-05-06 12:03:51,"7","7","5","7","7","6","6","6","5","7","7","5","7","7","7","7","7","7","7","7","5","yes",15,4,731,"women",40
2025-05-11 14:34:56,"7","6","6","5","6","5","5","6","4","5","6","4","6","6","6","6","7","7","5","3",NA,"no",23,6,590,"women",49
2025-05-11 16:41:38,"7","7","7","5","7","7","5","7","7","7",NA,"7","6","7","7","6","7","7","7","7","7","yes",19,3,183,"women",49
2025-05-13 13:50:54,"7","5","7","5","5","4","2","5","5","3","3","3","3","3","4","5","3","6","4","5","4","no",21,4,435,"women",27
2025-05-08 15:22:05,"5","4","2","2","6","3","2","7","5","5","4","5","5","4","5","6","5","7","7","6","7","no",12,4,370,"women",38
2025-05-06 17:43:41,"5","6","4","6","6","7","4","6","6","6","6","5","5","5","4","6","4","5","3","3","3","yes",24,4,622,"women",53
2025-05-14 17:35:52,"6","7","6","6","7","7","5","6","3","7","4","5","5","4","4","6","5","5","7","7","6","yes",23,6,168,"women",42
2025-05-18 15:54:21,"2","7","5","5","5","5","6","5","4","4","5","4","7","7","5","6","4","6","3","5","4","yes",17,4,524,"man",24
2025-05-09 14:57:46,"7","6","7","5","6","6","7","7","6","5","6","6","5","4","5","5","5","7","5","6","4","yes",17,3,133,"women",34
2025-05-14 14:29:32,"2","3","2","6","6","6","6","2","5","4","5","6","6","4","5","3","4","4","4","4","3","no",8,2,558,"women",40
2025-05-10 15:31:43,"7","7","6","5","7","7","6","5","5","6","4","7","7","7","5","6","5","5","6","6","5","yes",26,8,444,"women",36
2025-05-08 10:52:09,"3","4","6","4","6","4","5","4","4","5","6","5","5","6","6","6","6","6","3","2","2","yes",9,2,50,NA,68
2025-05-06 10:33:34,"5","6","3","5","4","4","6","4","6","5","3","3","2","1","5","5","5","4","4","5","4","yes",18,5,456,NA,43
2025-05-15 08:36:17,"4","4","4","5","6","5","3","5","4","7","3","4","4","5","5","5","4","6","7","7","6","yes",14,4,526,"women",26
2025-05-06 09:35:06,"7","3","4","7","6","7","5","4","4","7","4","2","4","6","4","6","5","4","6","5","5","yes",13,3,227,"women",33
2025-05-15 13:47:55,"5","3","5","6","3","5","6","7","5","2","6","4","5","6","6","6","5","5","4","6","6","yes",20,4,502,"man",51
2025-05-16 14:24:48,"2","6","6","7","5","6","6","4","3","3","4","5","6","5","4","6","4","6","4","6","4","yes",7,1,504,"Non-binary/other",48
2025-05-05 09:16:40,"6","7","5","6","6","5","6","2","4","6","6","7","6","6","6","5","6","6","6","6","7","yes",22,5,279,"women",33
2025-05-12 17:18:51,"5","3","6","5","5","4","3","3","4","6","4","4","1","3","5","4","5",NA,"5","4","7","no",15,3,237,"women",41
2025-05-18 15:54:06,"7","7","7","6","7","3","6","6","7","6","5","6","5","6","6","6","7","7","6","6","7","yes",28,7,80,"women",35
2025-05-15 16:49:00,"6","6","6","5","3","3","7","6","6","5","7","7","6","6","7","6","7","7","7","6","6","yes",15,3,653,"women",30
2025-05-08 11:32:11,"5","3","3","4","6","4","4","4","4","5","3","3","5","6","5","3","6","7","2","4","5","yes",22,6,664,"man",34
2025-05-12 08:13:54,"5","7","7","6","6","6","7","7","6",NA,"6","6","4","6","7","5","6","6","7","7",NA,"yes",24,4,204,"women",22
2025-05-09 12:51:03,"3",NA,"4","5","4","4","6","7","5","6","6","5","6","6","6","4","4","6","6","7","6","yes",9,2,71,"women",47
2025-05-17 16:45:08,"3","4","4","7","7","5","6","7","3","6","5","6","7","6","6","7","6","6","5","6","6","no",12,3,498,"women",46
2025-05-09 10:05:16,"6","6","7","7","6","6","6","5","5","6","5","5","6","5","3","4","4","3","3","5","5","yes",21,4,664,"man",29
2025-05-10 13:52:39,"6","5","7","3","5","3","6","5","6","7","5","5","6","6","7","7","7","6","7","6","6","yes",16,3,446,"women",25
2025-05-05 08:20:26,"5","3","5","3","5","4","6","7","4","4","7","6","5","6","6","7","7","3","4","7","4","yes",17,4,729,"man",30
2025-05-18 14:06:15,"4","3","5","4","6","5","5","6","6","4","5","2","4","3","4","5","6","7","3","4","5","yes",17,4,345,"women",32
2025-05-17 17:23:07,"6","4","6","7","7","7","6","7","7","6","7","7","7","7","7","7","7","7","5","5","6","yes",18,2,315,"man",45
2025-05-15 15:13:51,"6","6","5","5","4","5","4","5","5","2","5","5","6","5",NA,"4","6","4","2","3","6","yes",16,6,723,"women",42
2025-05-07 09:17:26,"5","4","5","6","5","6","4","6","5","6","4","6","5","6","7","6","5","5","5","6","5","yes",12,4,495,"women",32
2025-05-10 16:02:57,"7","7","7","7","7","6","7","7","7","7","7","7","7","7","7","7","6","7","7","7","7","no",15,3,70,"man",58
2025-05-17 14:00:22,"7","7","7","7","6","7","7","7","7","6","7","6","6","7","4","4","6","6","7","7","7","yes",27,7,702,"women",40
2025-05-08 14:37:37,"4","5","3","7","6","5","6","5","3","6","6","6","6","7","6","6","3","4","7","7","5","yes",14,3,323,"women",42
2025-05-12 17:37:47,"7","5","7","7","7","7","5","7","6","6","7","4","6","7","5","6","6","5","6","7","6","yes",27,5,18,"women",32
2025-05-14 17:03:02,"7","7","7","5","7","4","7","6","7","7","6","6","7","7","7","6","7","6","7","6","7","no",17,3,390,"women",36
2025-05-17 17:39:48,"6","6","6","7","6","4","6","7","6","7","7","7","7","7","7","5","7","7","6","7","7","yes",16,3,444,NA,41
2025-05-14 10:59:44,"7","6","7","7","6","7","6","7","6","6","7","7","7","6","5","7","6","7","7","6","7","no",15,2,720,"women",48
2025-05-17 09:23:37,"5","4","6","2","2","2","6","3","5","4","2","3","1","2","7","6","4","5","2","3","3","no",8,4,181,"man",35
2025-05-18 14:26:44,"6","7","6","5","6","6","7","7","7","6","5","7","5","5","6","3","2","6","7","7","5","no",20,5,529,"women",44
2025-05-14 10:31:34,"3","4","5","5","4","3","4","1","2","7","6","7","6","7","2","4","3","5","3","4","5","unsure",13,4,737,"man",35
2025-05-10 11:46:10,"6","5","7","6","6","6","6","4","7","6","6","6","5","7","5","6","6","4","7","7","6","unsure",11,4,616,"women",34
2025-05-15 12:23:03,"4","6","4","6","7","6","5","7","7","7","3","7","5","6","7","4","5","7","6","6","5","no",16,6,162,"man",55
2025-05-16 13:30:55,"7","7","7","7","7","7","7","6","7","7","7","7","7","7","7","7","7","7","6","7","7","no",27,8,298,"women",50
2025-05-18 10:12:39,"3","2","4","2","4","6","4","4","3","4","6","7","6","7","2","5","7","6","6","6","5","no",8,3,528,"women",45
2025-05-05 15:06:00,"7","7","6","5","5","3","6","7","5","6","6","6","5","5","4","2","5","3","4","5","5","yes",27,7,519,"man",32
2025-05-12 15:23:21,"4","3","3","5","4","2","4","5","5","5","6","5","6","6","6","7","6",NA,"5","4","6","yes",9,1,292,"man",46
2025-05-05 15:18:20,"6","6","6","4","6","4","3","3","6","3",NA,"5","5","5","4","4","7","5","4","4","4","yes",19,5,28,"women",60
2025-05-18 17:34:18,"5","6","6","7","7","7","7","7","7","6","6","7","6","6","7","7","7","7","5","7","6","yes",18,3,737,"man",51
2025-05-13 13:33:41,"5","3","6","6","6","3","5","4","5","6","4","4","4","5","6","7","5","6","5","6","4","yes",12,3,291,"man",26
2025-05-17 15:16:31,"3","6","4","4","2","4","4","2","4","4","4","6","6","4","7","7","7","7","6","6","7","yes",10,1,161,"man",35
2025-05-09 15:46:29,"5","6","6","5","6","6","6","6","7","4","6","6","7","6","6","5","3","2","5","3","6","no",17,5,535,"women",40
2025-05-06 12:53:52,"6","7","7","7","6","5","4","7","7","7","6","7","7","7","7","5","6","6","7","7","7","yes",21,3,277,"women",50
2025-05-13 11:19:14,"7","7","7","7","7","7","7","7","7","6","6","7","7","7","7","6","6","7","6","7","7","yes",22,NA,470,"women",52
2025-05-08 13:16:11,"2","5","3","5",NA,"5","3","6","4","5","6","5","5","4","4","5","6","5","5","6","4","no",9,2,228,"women",33
2025-05-08 10:41:21,"7","7","6","7","6","5","7","7","5","6","4","6","2","5","4","6","3","4","6","5","6","yes",18,3,259,"women",43
2025-05-12 16:35:34,"4","6","6","7","7","7","7","7","6","7","6","6","7","7","7","7","6","7","6","4","6","no",19,4,494,"man",45
2025-05-16 14:24:23,"5","4","4","5","4","4","5","6","6","4","4","6","4","3","4","5","5","6","6","5","5","no",17,4,471,"women",57
2025-05-05 11:37:32,"7","7","5","7","6","7","7","7","7","7","7","7","7","7","4","6","6","6","6","6","7","yes",21,6,327,"women",30
